date,open,high,low,close
2024-07-04 04:00:00,1.07854,1.07862,1.07853,1.0786
2024-07-04 04:05:00,1.07861,1.07861,1.07855,1.0786
2024-07-04 04:10:00,1.0786,1.07869,1.07856,1.07868
2024-07-04 04:15:00,1.07868,1.07872,1.0786,1.07861
2024-07-04 04:20:00,1.07861,1.07868,1.07858,1.07868
2024-07-04 04:25:00,1.07868,1.0787,1.07858,1.07861
2024-07-04 04:30:00,1.07861,1.07862,1.07851,1.07852
2024-07-04 04:35:00,1.07852,1.07857,1.0785,1.07851
2024-07-04 04:40:00,1.07851,1.07854,1.0785,1.07851
2024-07-04 04:45:00,1.07852,1.07856,1.07851,1.07855
2024-07-04 04:50:00,1.07856,1.07859,1.07851,1.07854
2024-07-04 04:55:00,1.07854,1.07874,1.07854,1.07866
2024-07-04 05:00:00,1.07867,1.07869,1.07856,1.07858
2024-07-04 05:05:00,1.07858,1.07858,1.07853,1.07856
2024-07-04 05:10:00,1.07856,1.07858,1.07853,1.07856
2024-07-04 05:15:00,1.07856,1.0786,1.07854,1.07859
2024-07-04 05:20:00,1.07856,1.07857,1.0785,1.07851
2024-07-04 05:25:00,1.07851,1.0786,1.0785,1.07858
2024-07-04 05:30:00,1.07859,1.07875,1.07855,1.07875
2024-07-04 05:35:00,1.07874,1.07879,1.0787,1.07877
2024-07-04 05:40:00,1.07878,1.07878,1.07871,1.07872
2024-07-04 05:45:00,1.07873,1.07888,1.07872,1.07885
2024-07-04 05:50:00,1.07885,1.07889,1.07878,1.07885
2024-07-04 05:55:00,1.07885,1.0791,1.07885,1.07903
2024-07-04 06:00:00,1.07904,1.07914,1.07852,1.07858
2024-07-04 06:05:00,1.07858,1.0791,1.07852,1.07902
2024-07-04 06:10:00,1.07903,1.07903,1.07858,1.07865
2024-07-04 06:15:00,1.07865,1.07888,1.07864,1.07883
2024-07-04 06:20:00,1.07882,1.07894,1.07867,1.07875
2024-07-04 06:25:00,1.07874,1.07888,1.07871,1.0788
2024-07-04 06:30:00,1.0788,1.07898,1.0787,1.07896
2024-07-04 06:35:00,1.07896,1.07897,1.07871,1.0789
2024-07-04 06:40:00,1.0789,1.07936,1.07876,1.07928
2024-07-04 06:45:00,1.07928,1.07935,1.07898,1.07901
2024-07-04 06:50:00,1.07902,1.07919,1.07896,1.07916
2024-07-04 06:55:00,1.07917,1.07931,1.07902,1.07926
2024-07-04 07:00:00,1.07926,1.07957,1.07923,1.0794
2024-07-04 07:05:00,1.07939,1.07946,1.07914,1.07916
2024-07-04 07:10:00,1.07917,1.07928,1.07902,1.07905
2024-07-04 07:15:00,1.07906,1.07918,1.07893,1.07912
2024-07-04 07:20:00,1.07914,1.07922,1.07891,1.07901
2024-07-04 07:25:00,1.07902,1.07933,1.07895,1.07924
2024-07-04 07:30:00,1.07925,1.0794,1.07915,1.07938
2024-07-04 07:35:00,1.07938,1.07947,1.07926,1.07938
2024-07-04 07:40:00,1.07938,1.07952,1.07928,1.07943
2024-07-04 07:45:00,1.07943,1.07968,1.07942,1.07949
2024-07-04 07:50:00,1.0795,1.07964,1.07922,1.07923
2024-07-04 07:55:00,1.07923,1.07945,1.07921,1.07945
2024-07-04 08:00:00,1.07946,1.07968,1.07944,1.07948
2024-07-04 08:05:00,1.07948,1.0796,1.0794,1.0796
2024-07-04 08:10:00,1.07959,1.0799,1.07951,1.0799
2024-07-04 08:15:00,1.0799,1.07993,1.07978,1.07992
2024-07-04 08:20:00,1.07992,1.08002,1.0798,1.08
2024-07-04 08:25:00,1.08,1.08032,1.07988,1.08031
2024-07-04 08:30:00,1.0803,1.0803,1.0798,1.07996
2024-07-04 08:35:00,1.07996,1.08004,1.07972,1.07984
2024-07-04 08:40:00,1.07984,1.08014,1.07978,1.07992
2024-07-04 08:45:00,1.07992,1.08006,1.0798,1.08004
2024-07-04 08:50:00,1.08004,1.08028,1.08004,1.08027
2024-07-04 08:55:00,1.08026,1.08032,1.08006,1.0802
2024-07-04 09:00:00,1.0802,1.08032,1.08007,1.08019
2024-07-04 09:05:00,1.08018,1.08024,1.07982,1.07986
2024-07-04 09:10:00,1.07986,1.08008,1.07982,1.08004
2024-07-04 09:15:00,1.08003,1.08012,1.07986,1.08012
2024-07-04 09:20:00,1.08012,1.08022,1.0798,1.07982
2024-07-04 09:25:00,1.07981,1.07989,1.07974,1.07986
2024-07-04 09:30:00,1.07986,1.07987,1.07972,1.07978
2024-07-04 09:35:00,1.07979,1.07979,1.07955,1.07962
2024-07-04 09:40:00,1.07962,1.07978,1.07954,1.07977
2024-07-04 09:45:00,1.07976,1.08009,1.07966,1.07997
2024-07-04 09:50:00,1.07997,1.08002,1.07976,1.07986
2024-07-04 09:55:00,1.07985,1.07985,1.07966,1.07978
2024-07-04 10:00:00,1.07979,1.07997,1.07973,1.07979
2024-07-04 10:05:00,1.0798,1.07984,1.07958,1.07965
2024-07-04 10:10:00,1.07966,1.07968,1.07952,1.07953
2024-07-04 10:15:00,1.07952,1.07962,1.07948,1.07954
2024-07-04 10:20:00,1.07955,1.0796,1.07942,1.07944
2024-07-04 10:25:00,1.07944,1.07956,1.07941,1.07951
2024-07-04 10:30:00,1.07952,1.0796,1.07944,1.07949
2024-07-04 10:35:00,1.0795,1.07992,1.0795,1.0799
2024-07-04 10:40:00,1.0799,1.08002,1.07988,1.07992
2024-07-04 10:45:00,1.07992,1.08016,1.07992,1.08004
2024-07-04 10:50:00,1.08003,1.08014,1.0799,1.08004
2024-07-04 10:55:00,1.08004,1.08015,1.08002,1.08012
2024-07-04 11:00:00,1.08011,1.08012,1.07994,1.08007
2024-07-04 11:05:00,1.08008,1.08022,1.07994,1.08021
2024-07-04 11:10:00,1.0802,1.0802,1.07995,1.07996
2024-07-04 11:15:00,1.07996,1.07996,1.07974,1.0798
2024-07-04 11:20:00,1.0798,1.0798,1.07964,1.07964
2024-07-04 11:25:00,1.07966,1.07976,1.07965,1.07968
2024-07-04 11:30:00,1.07968,1.07998,1.07968,1.07995
2024-07-04 11:35:00,1.07996,1.08008,1.07992,1.08002
2024-07-04 11:40:00,1.08003,1.08007,1.07985,1.07986
2024-07-04 11:45:00,1.07985,1.07997,1.0798,1.0799
2024-07-04 11:50:00,1.0799,1.08016,1.0799,1.07995
2024-07-04 11:55:00,1.07995,1.07995,1.07968,1.07972
2024-07-04 12:00:00,1.07972,1.07985,1.07962,1.0798
2024-07-04 12:05:00,1.07981,1.08,1.07978,1.07996
2024-07-04 12:10:00,1.07996,1.08007,1.07984,1.07997
2024-07-04 12:15:00,1.07998,1.08016,1.07998,1.0801
2024-07-04 12:20:00,1.0801,1.08012,1.08,1.0801
2024-07-04 12:25:00,1.08011,1.08012,1.07994,1.07996
2024-07-04 12:30:00,1.07997,1.08007,1.07988,1.07999
2024-07-04 12:35:00,1.07998,1.08006,1.07988,1.08
2024-07-04 12:40:00,1.07999,1.08024,1.07998,1.08011
2024-07-04 12:45:00,1.0801,1.08023,1.07986,1.07988
2024-07-04 12:50:00,1.07988,1.07998,1.07985,1.07989
2024-07-04 12:55:00,1.07988,1.0799,1.07964,1.07972
2024-07-04 13:00:00,1.07972,1.07978,1.07956,1.07956
2024-07-04 13:05:00,1.07956,1.07966,1.0795,1.07958
2024-07-04 13:10:00,1.07958,1.07978,1.07955,1.07966
2024-07-04 13:15:00,1.07967,1.07984,1.07966,1.07978
2024-07-04 13:20:00,1.07978,1.07984,1.07965,1.07972
2024-07-04 13:25:00,1.07972,1.07978,1.07966,1.07973
2024-07-04 13:30:00,1.07974,1.07987,1.07966,1.07987
2024-07-04 13:35:00,1.07986,1.08007,1.07982,1.08004
2024-07-04 13:40:00,1.08003,1.08004,1.07978,1.0799
2024-07-04 13:45:00,1.0799,1.07991,1.07976,1.07986
2024-07-04 13:50:00,1.07987,1.08,1.07983,1.07998
2024-07-04 13:55:00,1.07998,1.08018,1.07994,1.08012
2024-07-04 14:00:00,1.08012,1.08028,1.08011,1.08017
2024-07-04 14:05:00,1.08018,1.08033,1.08011,1.0802
2024-07-04 14:10:00,1.08019,1.08021,1.08,1.08016
2024-07-04 14:15:00,1.08016,1.08016,1.07995,1.08016
2024-07-04 14:20:00,1.08016,1.08038,1.08015,1.08031
2024-07-04 14:25:00,1.08031,1.0804,1.08027,1.08031
2024-07-04 14:30:00,1.08032,1.08059,1.08028,1.08053
2024-07-04 14:35:00,1.08054,1.0806,1.08042,1.08053
2024-07-04 14:40:00,1.08054,1.08066,1.08046,1.0806
2024-07-04 14:45:00,1.0806,1.0808,1.08056,1.08079
2024-07-04 14:50:00,1.0808,1.08094,1.08065,1.08078
2024-07-04 14:55:00,1.08079,1.08094,1.08061,1.08084
2024-07-04 15:00:00,1.08084,1.08094,1.08071,1.08091
2024-07-04 15:05:00,1.08092,1.08132,1.08092,1.08122
2024-07-04 15:10:00,1.08122,1.0814,1.08115,1.08132
2024-07-04 15:15:00,1.08131,1.08139,1.08115,1.08124
2024-07-04 15:20:00,1.08124,1.08124,1.081,1.08105
2024-07-04 15:25:00,1.08105,1.08125,1.08105,1.08118
2024-07-04 15:30:00,1.08117,1.08127,1.08114,1.08124
2024-07-04 15:35:00,1.08124,1.08137,1.08124,1.08135
2024-07-04 15:40:00,1.08134,1.08137,1.0813,1.08131
2024-07-04 15:45:00,1.0813,1.08139,1.0813,1.08134
2024-07-04 15:50:00,1.08133,1.08138,1.08133,1.08137
2024-07-04 15:55:00,1.08138,1.08138,1.08108,1.08109
2024-07-04 16:00:00,1.08109,1.08112,1.08102,1.08109
2024-07-04 16:05:00,1.08109,1.08127,1.08106,1.08126
2024-07-04 16:10:00,1.08126,1.08137,1.08116,1.08137
2024-07-04 16:15:00,1.08136,1.08139,1.0813,1.08135
2024-07-04 16:20:00,1.08136,1.08138,1.08133,1.08135
2024-07-04 16:25:00,1.08134,1.08139,1.08133,1.08137
2024-07-04 16:30:00,1.08135,1.08138,1.08128,1.08128
2024-07-04 16:35:00,1.08128,1.08133,1.08126,1.08126
2024-07-04 16:40:00,1.08127,1.0813,1.08117,1.08118
2024-07-04 16:45:00,1.08119,1.08126,1.08114,1.08114
2024-07-04 16:50:00,1.08114,1.08116,1.08102,1.08102
2024-07-04 16:55:00,1.08102,1.08125,1.08099,1.08123
2024-07-04 17:00:00,1.08123,1.0813,1.08112,1.08113
2024-07-04 17:05:00,1.08112,1.08118,1.08112,1.08116
2024-07-04 17:10:00,1.08117,1.08117,1.08114,1.08116
2024-07-04 17:15:00,1.08117,1.08118,1.08115,1.08116
2024-07-04 17:20:00,1.08117,1.08124,1.08116,1.0812
2024-07-04 17:25:00,1.0812,1.0812,1.0811,1.0811
2024-07-04 17:30:00,1.08111,1.08116,1.08111,1.08115
2024-07-04 17:35:00,1.08114,1.08115,1.08114,1.08115
2024-07-04 17:40:00,1.08114,1.08114,1.08109,1.0811
2024-07-04 17:45:00,1.0811,1.08112,1.0811,1.08112
2024-07-04 17:50:00,1.08112,1.08112,1.0811,1.08112
2024-07-04 17:55:00,1.08112,1.08118,1.08112,1.08116
2024-07-04 18:00:00,1.08117,1.08122,1.08116,1.08116
2024-07-04 18:05:00,1.08116,1.08116,1.08115,1.08115
2024-07-04 18:10:00,1.08114,1.08126,1.08114,1.08125
2024-07-04 18:15:00,1.08124,1.08125,1.08121,1.08122
2024-07-04 18:20:00,1.08123,1.08126,1.08122,1.08126
2024-07-04 18:25:00,1.08125,1.08126,1.08124,1.08124
2024-07-04 18:30:00,1.08125,1.08126,1.08124,1.08125
2024-07-04 18:35:00,1.08126,1.08126,1.08125,1.08125
2024-07-04 18:40:00,1.08126,1.08127,1.08124,1.08126
2024-07-04 18:45:00,1.08127,1.08127,1.08124,1.08124
2024-07-04 18:50:00,1.08125,1.08127,1.08124,1.08126
2024-07-04 18:55:00,1.08125,1.08126,1.08119,1.08122
2024-07-04 19:00:00,1.08123,1.08128,1.08122,1.08125
2024-07-04 19:05:00,1.08126,1.08126,1.08125,1.08126
2024-07-04 19:10:00,1.08125,1.08125,1.08123,1.08124
2024-07-04 19:15:00,1.08125,1.08125,1.08124,1.08125
2024-07-04 19:20:00,1.08124,1.08124,1.08123,1.08124
2024-07-04 19:25:00,1.08124,1.08124,1.08124,1.08124
2024-07-04 19:30:00,1.08124,1.0813,1.08124,1.08128
2024-07-04 19:35:00,1.08127,1.08132,1.08127,1.08128
2024-07-04 19:40:00,1.08129,1.08129,1.08128,1.08128
2024-07-04 19:45:00,1.08129,1.08132,1.08128,1.08132
2024-07-04 19:50:00,1.08132,1.08133,1.08131,1.08132
2024-07-04 19:55:00,1.08131,1.08133,1.08126,1.08132
2024-07-04 20:00:00,1.08132,1.08134,1.0813,1.08132
2024-07-04 20:05:00,1.08132,1.08133,1.08127,1.08128
2024-07-04 20:10:00,1.08128,1.08133,1.08128,1.08132
2024-07-04 20:15:00,1.08132,1.08132,1.0813,1.08131
2024-07-04 20:20:00,1.08132,1.08134,1.08132,1.08134
2024-07-04 20:25:00,1.08134,1.08139,1.08133,1.08133
2024-07-04 20:30:00,1.08134,1.08134,1.08126,1.08126
2024-07-04 20:35:00,1.08127,1.08128,1.08124,1.08124
2024-07-04 20:40:00,1.08124,1.08125,1.08122,1.08123
2024-07-04 20:45:00,1.08123,1.08125,1.0812,1.08123
2024-07-04 20:50:00,1.08124,1.08126,1.08115,1.08117
2024-07-04 20:55:00,1.08118,1.08134,1.08116,1.0812
2024-07-04 21:05:00,1.08126,1.08126,1.08113,1.08115
2024-07-04 21:10:00,1.08115,1.08118,1.08112,1.08114
2024-07-04 21:15:00,1.08114,1.08118,1.08109,1.0811
2024-07-04 21:20:00,1.0811,1.08116,1.0811,1.08111
2024-07-04 21:25:00,1.0811,1.08112,1.0811,1.0811
2024-07-04 21:30:00,1.0811,1.08118,1.0811,1.08115
2024-07-04 21:35:00,1.08116,1.08118,1.0811,1.0811
2024-07-04 21:40:00,1.0811,1.08116,1.08108,1.08112
2024-07-04 21:45:00,1.0811,1.08116,1.08108,1.08111
2024-07-04 21:50:00,1.08112,1.0812,1.08108,1.08112
2024-07-04 21:55:00,1.08113,1.08123,1.0811,1.08113
2024-07-04 22:00:00,1.08114,1.08143,1.08113,1.0812
2024-07-04 22:05:00,1.08119,1.0812,1.08114,1.08115
2024-07-04 22:10:00,1.08114,1.08115,1.08107,1.08111
2024-07-04 22:15:00,1.08111,1.08115,1.08109,1.08112
2024-07-04 22:20:00,1.08113,1.08114,1.08106,1.0811
2024-07-04 22:25:00,1.0811,1.0811,1.08105,1.0811
2024-07-04 22:30:00,1.0811,1.0811,1.08106,1.0811
2024-07-04 22:35:00,1.08111,1.08115,1.0811,1.08115
2024-07-04 22:40:00,1.08112,1.08118,1.08109,1.08115
2024-07-04 22:45:00,1.08114,1.08121,1.08114,1.0812
2024-07-04 22:50:00,1.08119,1.0812,1.08118,1.08119
2024-07-04 22:55:00,1.08118,1.08119,1.08114,1.08118
